anime_id,name,genre,rating
32281,kimi no na wa.,"Drama, Romance, School, Supernatural",9.37
5114,fullmetal alchemist: brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",9.26
28977,gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.25
9253,steins;gate,"Sci-Fi, Thriller",9.17
9969,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.16
32935,haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",9.15
11061,hunter x hunter (2011),"Action, Adventure, Shounen, Super Power",9.13
820,ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",9.11
15335,gintama movie: kanketsu-hen - yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.1
15417,gintama: enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11
4181,clannad: after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",9.06
28851,koe no katachi,"Drama, School, Shounen",9.05
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04
2904,code geass: hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",8.98
28891,haikyuu!! second season,"Comedy, Drama, School, Shounen, Sports",8.93
199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",8.93
23273,shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",8.92
24701,mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.88
12355,ookami kodomo no ame to yuki,"Fantasy, Slice of Life",8.84
1575,code geass: hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",8.83
263,hajime no ippo,"Comedy, Drama, Shounen, Sports",8.83
44,rurouni kenshin: meiji kenkaku romantan - tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",8.83
1,cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.82
